,model,bradley_terry_scores
0,tpro,1131.0550410746366
1,RuadaptQwen2.5-32B-Pro-Beta,1105.790996233197
3,llama3-70b,1038.6301610714277
4,RuadaptQwen2.5-7B-Lite-Beta,1012.2665829865214
6,tlite,966.1193412083053
7,vikhr12b,955.1278760582345
10,yagpt5lite,750.3162779085457
