,model,bradley_terry_scores
0,tpro,1122.562784408055
1,RuadaptQwen2.5-32B-Pro-Beta,1092.8205833987458
3,llama3-70b,1017.3255904554762
4,RuadaptQwen2.5-7B-Lite-Beta,1008.675673765194
6,tlite,952.9659319291436
7,vikhr12b,946.8810931635289
10,yagpt5lite,681.50553680073
