,model,bradley_terry_scores
2,tpro,1015.8401279905927
5,RuadaptQwen2.5-32B-Pro-Beta,960.6872356471674
6,llama3-70b,901.6817161602455
7,tlite,892.3083966853546
8,vikhr12b,885.1695889663855
9,RuadaptQwen2.5-7B-Lite-Beta,876.3050214125913
10,yagpt5lite,812.7736689528099
